student_id,subject,topic,previous_score,study_hours,attempts,difficulty,confidence_level,days_since_revision,attendance,quiz_score,target_score
STU01268,OS,Processes,51.62,0.6,14,Easy,Medium,1,61.98,57.72,46.26
STU01215,DSA,LinkedList,42.5,0.76,7,Easy,Medium,3,94.23,37.07,53.0
STU01075,CN,Security,66.01,1.38,3,Easy,Low,48,82.42,64.86,34.6
STU01497,Aptitude,Geometry,81.51,0.27,17,Easy,High,48,87.2,99.56,71.31
STU01342,CN,DNS,56.77,7.85,20,Hard,Low,18,89.76,53.24,41.84
STU01069,OS,Memory,58.15,6.68,7,Easy,High,13,78.74,42.25,79.85
STU01215,CN,DNS,66.8,4.56,14,Hard,Medium,12,76.24,66.75,38.16
STU01283,DBMS,Normalization,36.04,4.19,7,Easy,Low,24,53.89,23.61,29.83
STU01252,Aptitude,Permutation,44.61,1.0,3,Easy,Medium,44,87.48,49.43,29.09
STU01058,ML,NeuralNets,90.42,2.19,17,Easy,High,24,86.56,91.99,86.97
STU01134,DBMS,Transactions,69.48,0.19,3,Easy,Low,18,75.19,74.73,44.75
STU01233,DSA,Graph,93.74,6.17,10,Hard,High,31,64.47,97.3,65.04
STU01408,ML,DecisionTrees,37.95,0.77,5,Medium,Medium,40,66.62,39.72,6.97
STU01447,DSA,Arrays,76.43,0.44,14,Easy,Low,34,89.56,88.85,61.9
STU01450,DBMS,Queries,88.59,10.91,17,Medium,High,10,67.96,76.46,100.0
STU01342,OS,Deadlock,69.37,1.91,5,Easy,Low,37,67.73,76.04,45.13
STU01053,CN,TCP-IP,58.74,0.35,19,Medium,High,44,51.01,50.05,47.0
STU01369,DBMS,Transactions,69.85,3.7,18,Hard,High,11,100.0,69.21,85.16
STU01407,Aptitude,Geometry,45.7,0.37,2,Easy,Medium,37,85.29,66.81,46.32
STU01335,OS,Deadlock,69.0,3.83,10,Hard,Medium,50,42.44,83.69,39.26
STU01138,DSA,LinkedList,64.88,1.0,11,Easy,Low,42,81.05,68.65,36.32
STU01249,Aptitude,Permutation,63.75,2.75,18,Medium,Low,60,89.33,63.44,26.73
STU01317,Python,Decorators,22.08,5.62,17,Medium,Low,13,82.69,14.9,15.41
STU01282,DSA,Sorting,82.03,3.45,20,Easy,Medium,14,65.69,95.02,75.57
STU01014,DBMS,Transactions,97.9,0.09,19,Hard,Medium,6,71.26,100.0,66.61
STU01363,Aptitude,Algebra,95.48,0.69,5,Easy,Medium,27,38.15,94.01,49.78
STU01300,DSA,Arrays,86.11,1.73,15,Easy,Low,35,84.8,100.0,66.42
STU01264,DSA,Queue,47.49,2.6,2,Hard,Medium,58,54.26,38.5,12.68
STU01150,CN,Bandwidth,88.78,0.23,9,Medium,High,54,74.38,95.52,67.13
STU01075,ML,Regression,75.57,2.03,8,Medium,Medium,25,78.11,89.9,50.11
STU01326,DBMS,Queries,69.32,3.07,14,Hard,Low,37,100.0,62.93,34.18
STU01356,CN,DNS,50.04,1.99,10,Hard,Low,43,42.92,61.31,2.25
STU01084,DSA,Sorting,75.6,1.59,3,Easy,Low,29,96.62,75.0,57.73
STU01373,OS,Processes,66.73,2.14,8,Medium,High,10,72.66,65.79,65.68
STU01286,OS,FileSystem,78.07,5.96,13,Easy,Low,41,55.63,95.08,52.3
STU01295,Python,OOP,18.47,2.15,17,Easy,Medium,32,97.66,30.34,13.19
STU01309,OS,Deadlock,89.29,2.96,20,Medium,Medium,14,61.79,94.17,79.21
STU01478,Aptitude,Permutation,81.56,3.77,1,Easy,Medium,3,90.15,100.0,77.42
STU01123,DBMS,SQL,20.1,1.53,20,Medium,Medium,55,85.14,56.85,27.03
STU01157,Aptitude,Algebra,65.55,2.08,11,Easy,Medium,26,72.97,59.96,46.64
STU01330,Python,Generators,81.27,6.07,8,Hard,High,17,52.48,84.25,63.8
STU01316,OS,Memory,49.19,2.15,9,Easy,Low,53,82.07,50.9,21.38
STU01346,Python,Exceptions,100.0,1.27,9,Medium,High,52,82.86,100.0,64.21
STU01117,DBMS,SQL,86.04,6.41,7,Hard,High,17,71.29,99.44,71.58
STU01128,OS,Deadlock,74.43,0.45,1,Hard,High,48,52.05,72.25,41.17
STU01154,ML,Classification,59.62,0.22,8,Easy,Low,48,58.4,54.02,14.24
STU01478,Aptitude,Permutation,56.04,2.45,16,Hard,High,39,43.14,44.53,39.03
STU01371,Aptitude,Probability,23.43,2.05,4,Medium,Medium,0,56.39,22.76,21.68
STU01131,DBMS,Normalization,93.3,9.65,18,Hard,Medium,6,76.88,97.41,80.28
STU01247,OS,Deadlock,30.83,2.11,19,Hard,Low,32,90.16,53.0,20.2
STU01291,Python,Generators,59.48,0.98,18,Hard,Low,6,59.14,78.12,39.54
STU01085,OS,FileSystem,83.48,4.25,20,Hard,Low,10,72.23,81.44,39.65
STU01471,Aptitude,Algebra,89.93,1.43,12,Easy,Low,34,42.45,100.0,51.26
STU01128,DSA,LinkedList,71.16,2.51,7,Hard,Low,8,49.35,77.86,31.42
STU01004,DBMS,Normalization,87.06,4.32,10,Easy,Low,35,92.27,84.46,58.55
STU01165,DSA,Graph,47.02,3.29,2,Medium,High,11,61.36,51.04,66.09
STU01394,CN,Routing,72.67,0.12,11,Medium,Low,0,39.45,79.54,35.94
STU01282,CN,Protocols,91.83,0.88,3,Hard,High,53,61.74,100.0,46.33
STU01246,Python,Decorators,53.49,1.71,13,Easy,Medium,42,76.83,69.98,39.44
STU01073,DSA,Searching,100.0,1.43,7,Easy,Low,34,74.29,100.0,61.56
STU01172,OS,Scheduling,58.84,4.12,17,Medium,Medium,60,65.12,70.48,49.8
STU01497,Aptitude,Algebra,81.33,2.69,16,Medium,High,5,84.28,99.88,91.18
STU01489,CN,TCP-IP,39.98,0.94,15,Hard,Medium,52,100.0,36.79,21.89
STU01328,DBMS,ER-Model,87.58,4.65,18,Hard,Low,58,73.79,78.53,41.27
STU01188,CN,TCP-IP,14.41,1.3,7,Hard,Low,14,94.47,21.17,12.51
STU01470,DSA,Tree,70.34,0.66,3,Medium,Low,41,88.34,70.96,21.65
STU01096,OS,Deadlock,89.46,1.29,12,Hard,Medium,56,64.75,78.41,41.94
STU01377,DBMS,Queries,96.59,0.68,3,Easy,High,44,67.16,88.15,58.23
STU01324,DBMS,Queries,74.2,0.12,15,Easy,Low,48,71.25,69.67,35.21
STU01187,DBMS,Indexing,61.69,5.28,14,Easy,Low,23,62.62,89.78,48.78
STU01153,Aptitude,Algebra,88.34,1.8,10,Hard,Low,42,99.32,88.17,34.06
STU01241,DBMS,ER-Model,93.41,2.98,3,Medium,Low,31,66.44,100.0,45.49
STU01381,Aptitude,Percentage,62.34,1.24,9,Easy,Medium,2,91.89,72.77,68.84
STU01261,OS,Deadlock,65.91,8.18,16,Medium,High,12,65.54,79.99,78.95
STU01323,DBMS,ER-Model,68.15,5.07,1,Easy,Low,58,100.0,77.2,47.1
STU01363,CN,Routing,71.36,0.52,5,Easy,Medium,42,65.56,75.94,49.19
STU01031,Aptitude,Probability,69.59,0.0,2,Medium,High,13,72.71,66.48,60.89
STU01450,CN,Bandwidth,45.18,1.18,13,Hard,Low,34,77.32,46.27,7.28
STU01455,DBMS,SQL,41.29,3.5,4,Medium,High,19,69.02,41.83,45.12
STU01219,DSA,Queue,28.8,2.42,18,Medium,Low,49,89.48,54.0,15.23
STU01436,CN,Security,96.31,2.87,2,Hard,Low,45,74.01,100.0,37.68
STU01099,CN,Routing,77.97,0.62,2,Hard,High,46,89.81,94.19,58.24
STU01027,OS,Processes,62.71,2.54,6,Medium,Low,18,84.5,76.69,39.83
STU01015,DBMS,Indexing,39.97,4.99,16,Hard,Low,26,96.66,48.4,29.43
STU01079,OS,Scheduling,46.11,0.08,3,Medium,High,19,79.85,50.22,53.16
STU01206,Aptitude,Percentage,64.2,0.17,2,Medium,Low,23,53.54,72.16,27.64
STU01209,CN,TCP-IP,100.0,0.86,13,Medium,Medium,24,67.56,100.0,69.99
STU01392,OS,Scheduling,64.93,2.41,20,Hard,Low,32,57.62,67.72,28.73
STU01353,DBMS,SQL,59.62,0.2,7,Easy,Low,1,73.71,73.81,48.4
STU01106,Aptitude,Algebra,99.03,2.37,9,Easy,High,49,95.75,100.0,83.04
STU01111,OS,Deadlock,62.98,0.1,10,Medium,Medium,13,97.48,61.47,44.47
STU01301,OS,Threads,98.43,5.14,19,Hard,High,43,71.94,100.0,75.6
STU01150,CN,Routing,61.49,0.62,15,Hard,High,32,63.61,63.12,43.8
STU01213,Aptitude,Probability,40.48,10.99,18,Easy,Low,48,53.03,71.42,49.85
STU01250,CN,TCP-IP,61.55,0.81,19,Medium,High,57,88.25,81.31,65.17
STU01399,DSA,Stack,53.99,8.89,5,Medium,Medium,4,64.93,57.92,51.3
STU01316,CN,Bandwidth,51.29,2.64,2,Hard,Low,34,79.13,43.34,21.02
STU01424,ML,NeuralNets,33.88,0.19,14,Easy,High,15,70.91,17.93,41.89
STU01350,DSA,Arrays,39.07,2.33,15,Easy,High,36,52.31,59.02,49.05
STU01120,ML,NeuralNets,96.68,0.09,14,Hard,High,1,100.0,98.46,71.72
STU01282,CN,Routing,79.65,0.95,17,Hard,High,50,73.79,93.82,55.57
STU01223,Aptitude,Permutation,47.58,0.08,13,Medium,High,51,81.05,43.19,41.11
STU01375,DBMS,Indexing,52.52,5.07,15,Easy,High,33,100.0,56.5,65.02
STU01466,DSA,LinkedList,87.11,0.61,16,Hard,Low,13,92.81,100.0,40.55
STU01090,Python,Exceptions,32.73,5.03,16,Medium,Medium,12,88.97,41.14,56.03
STU01489,OS,Memory,83.03,5.26,19,Medium,Low,44,72.92,86.53,54.45
STU01310,Aptitude,Percentage,91.76,2.07,19,Easy,High,59,98.8,100.0,86.78
STU01224,DSA,Stack,41.23,2.57,2,Medium,Medium,45,79.68,77.65,33.7
STU01328,DBMS,Queries,41.87,1.27,5,Easy,Low,14,52.01,70.15,36.64
STU01432,Aptitude,Probability,59.95,6.54,15,Hard,High,3,80.88,63.06,67.99
STU01290,Python,Decorators,84.42,1.94,16,Easy,Medium,41,65.74,100.0,70.17
STU01433,CN,Security,43.83,4.9,7,Medium,Low,12,75.95,43.01,25.03
STU01241,DBMS,Indexing,69.48,0.11,10,Medium,Medium,46,95.46,75.7,48.33
STU01118,CN,Bandwidth,74.99,1.32,10,Easy,Medium,7,55.55,83.16,72.99
STU01347,CN,Security,73.71,4.15,19,Medium,High,35,88.38,76.26,61.39
STU01069,Aptitude,Percentage,100.0,0.49,5,Hard,Medium,14,46.62,98.0,45.63
STU01011,DBMS,SQL,63.23,11.01,3,Medium,Low,6,100.0,60.2,72.02
STU01374,CN,Routing,71.05,2.16,7,Easy,High,44,66.99,65.05,50.11
STU01425,Aptitude,Algebra,74.87,0.18,8,Easy,Low,37,89.48,96.76,54.04
STU01300,CN,TCP-IP,78.9,3.28,20,Hard,Medium,7,100.0,75.65,62.28
STU01453,CN,Protocols,68.39,0.25,16,Hard,High,11,53.79,86.53,44.13
STU01468,OS,Scheduling,43.15,12.23,8,Easy,High,55,70.25,60.28,63.8
STU01149,ML,Classification,68.11,0.43,14,Hard,Low,35,100.0,62.4,19.69
STU01066,DSA,Tree,66.2,4.36,4,Medium,High,17,50.84,79.56,61.56
STU01427,Aptitude,Algebra,14.7,1.94,13,Easy,Medium,34,75.42,23.43,38.51
STU01462,Python,OOP,61.5,0.48,2,Hard,Medium,34,63.66,66.78,24.45
STU01256,DBMS,SQL,25.62,2.33,1,Medium,Low,45,71.73,33.49,3.83
STU01390,DSA,Tree,75.16,1.42,13,Easy,Medium,30,75.81,51.27,53.17
STU01316,Aptitude,Geometry,31.87,1.22,5,Hard,Medium,18,93.85,31.25,12.77
STU01382,OS,Threads,53.73,0.32,14,Easy,High,50,68.84,64.21,40.45
STU01097,ML,NeuralNets,50.34,0.48,4,Hard,Low,59,64.47,60.05,8.4
STU01485,ML,DecisionTrees,26.12,0.49,5,Hard,High,54,100.0,25.36,0.0
STU01246,Python,Decorators,67.18,0.61,18,Medium,High,44,58.22,72.02,56.9
STU01483,DSA,Queue,30.14,0.4,4,Hard,High,33,74.93,46.83,14.5
STU01232,OS,Processes,94.42,5.57,9,Easy,Low,16,71.86,100.0,70.99
STU01130,ML,DecisionTrees,63.25,3.8,11,Easy,Medium,54,77.29,75.67,51.94
STU01200,DSA,Sorting,41.17,3.34,1,Easy,High,22,75.94,43.88,48.08
STU01087,OS,Processes,38.06,1.08,15,Easy,High,18,60.43,32.59,49.08
STU01491,DBMS,Indexing,49.04,1.81,17,Easy,Medium,30,72.83,47.2,48.68
STU01329,DBMS,Normalization,47.77,0.18,18,Hard,Low,9,61.79,46.34,26.66
STU01488,DBMS,Queries,65.82,2.4,2,Easy,Low,10,87.44,62.53,46.19
STU01488,OS,Scheduling,54.77,6.59,12,Medium,Low,31,63.59,56.56,37.71
STU01405,OS,Threads,58.0,1.96,13,Medium,High,20,83.24,50.06,56.6
STU01224,OS,Scheduling,70.89,3.25,2,Medium,High,28,49.24,69.87,55.96
STU01050,Aptitude,Permutation,94.56,3.4,3,Hard,Low,53,67.56,100.0,40.62
STU01295,ML,Regression,69.12,4.17,12,Easy,High,4,56.92,70.57,78.41
STU01483,DBMS,Normalization,98.4,2.39,2,Hard,Low,40,80.92,100.0,22.66
STU01420,Python,Functions,36.0,0.4,6,Medium,Medium,55,58.41,30.29,11.29
STU01111,CN,Security,31.02,1.33,8,Medium,Medium,38,96.86,47.69,22.99
STU01020,DSA,Sorting,53.72,2.17,20,Hard,Low,3,77.77,58.52,28.2
STU01158,DBMS,ER-Model,48.64,0.15,13,Hard,High,11,74.95,60.6,49.56
STU01415,ML,Clustering,50.66,0.23,20,Easy,Medium,48,47.0,70.8,43.59
STU01459,DSA,Queue,74.11,1.71,15,Medium,Low,26,58.77,87.61,51.79
STU01090,CN,Routing,67.82,0.89,19,Easy,Medium,41,48.47,68.7,51.39
STU01069,CN,Protocols,41.6,0.36,4,Easy,Low,38,31.92,43.86,3.63
STU01084,DSA,Queue,82.73,9.21,16,Easy,Medium,53,64.61,99.33,72.08
STU01070,ML,Regression,67.03,1.32,7,Easy,High,5,58.03,74.5,66.14
STU01143,Aptitude,Geometry,33.75,3.28,18,Medium,Medium,4,67.06,27.65,42.68
STU01472,DSA,Stack,52.85,0.23,1,Hard,Low,16,99.44,67.97,3.3
STU01423,Python,Loops,63.35,1.66,5,Easy,Medium,1,62.56,57.1,56.55
STU01330,DBMS,ER-Model,50.78,1.8,10,Easy,High,34,76.11,49.33,43.52
STU01020,DBMS,Transactions,45.52,0.74,9,Medium,Medium,39,81.89,59.35,31.71
STU01097,DBMS,Transactions,48.93,1.27,11,Hard,Medium,18,43.05,40.36,19.2
STU01268,DBMS,Transactions,88.76,1.26,16,Easy,Low,45,83.05,81.57,51.88
STU01468,Python,Exceptions,33.69,5.69,11,Medium,High,39,94.47,64.12,53.63
STU01008,CN,Security,100.0,0.22,9,Hard,Low,11,58.99,96.41,53.72
STU01129,Aptitude,Geometry,87.97,0.45,6,Hard,Low,57,96.49,81.08,25.3
STU01283,CN,Routing,54.52,9.07,9,Hard,Low,51,56.14,62.29,31.28
STU01457,CN,TCP-IP,66.4,0.7,1,Medium,High,20,90.63,79.97,56.37
STU01307,Aptitude,Probability,89.34,1.09,5,Medium,High,43,97.82,98.38,67.12
STU01419,DSA,Queue,88.89,0.18,7,Easy,Medium,5,58.18,89.87,68.86
STU01456,Aptitude,Permutation,53.1,0.18,14,Medium,Low,51,56.81,65.33,25.83
STU01333,Aptitude,Probability,57.41,1.19,14,Hard,Low,35,57.92,52.89,13.46
STU01147,Python,Generators,60.56,4.89,19,Hard,Low,45,81.33,67.52,33.58
STU01201,ML,NeuralNets,85.06,2.47,19,Easy,High,46,100.0,75.35,72.16
STU01437,CN,Security,66.72,0.83,14,Easy,Medium,10,66.3,78.27,70.76
STU01068,ML,Classification,83.05,0.51,16,Easy,Low,28,78.22,83.0,58.54
STU01268,OS,Deadlock,100.0,0.73,5,Medium,Medium,2,87.89,100.0,70.86
STU01201,CN,Routing,42.59,1.04,20,Hard,Low,28,73.35,61.91,17.9
STU01179,ML,NeuralNets,60.85,10.31,8,Medium,Low,22,48.75,74.92,48.64
STU01210,DSA,Tree,61.09,1.59,13,Medium,Medium,48,79.57,60.47,56.93
STU01432,CN,Security,88.18,0.13,8,Easy,Low,42,76.82,88.33,52.33
STU01295,CN,Protocols,54.83,0.81,5,Easy,Medium,48,73.27,50.97,34.8
STU01307,OS,Processes,59.13,1.5,14,Hard,Low,44,76.7,50.35,1.72
STU01332,CN,Protocols,83.42,7.76,5,Easy,Low,7,66.86,96.53,73.55
STU01177,Aptitude,Algebra,59.63,1.52,18,Medium,Medium,36,61.63,62.52,34.09
STU01084,DSA,Arrays,75.24,2.76,9,Medium,High,9,72.48,92.0,58.65
STU01266,Python,Functions,74.03,3.38,6,Hard,Medium,2,58.88,67.6,46.66
STU01081,DSA,Graph,100.0,0.11,17,Hard,High,30,67.72,100.0,63.75
STU01294,ML,DecisionTrees,100.0,0.81,6,Medium,High,57,63.82,90.9,63.53
STU01288,OS,Deadlock,28.61,2.18,4,Hard,Low,59,64.6,23.75,1.16
STU01440,ML,DecisionTrees,58.84,0.42,10,Hard,Low,59,86.69,76.58,11.89
STU01395,DSA,Arrays,89.44,2.17,6,Medium,Low,0,76.67,94.72,62.17
STU01045,ML,Classification,63.23,0.44,18,Hard,Medium,5,69.45,65.64,55.12
STU01030,DBMS,Indexing,36.92,1.61,6,Medium,Low,3,53.2,42.07,22.98
STU01285,CN,DNS,34.21,1.04,4,Hard,Medium,4,52.71,41.04,8.58
STU01162,CN,Bandwidth,56.33,4.38,13,Easy,High,50,90.3,61.64,48.36
STU01383,ML,DecisionTrees,40.17,2.19,3,Hard,High,12,77.49,43.11,52.41
STU01435,CN,Routing,87.02,2.42,5,Hard,Medium,38,100.0,87.37,47.4
STU01145,CN,Security,70.16,2.29,13,Medium,High,46,59.71,71.54,55.91
STU01465,ML,Regression,72.54,1.65,6,Medium,Medium,54,74.56,63.06,30.7
STU01417,Python,OOP,92.25,5.62,18,Hard,Low,27,62.53,100.0,58.97
STU01260,Aptitude,Geometry,88.32,5.59,19,Hard,High,37,71.93,100.0,77.59
STU01022,CN,Bandwidth,49.54,0.89,16,Hard,High,11,81.11,48.28,49.95
STU01184,Python,Loops,89.19,0.18,13,Medium,High,39,53.41,95.99,64.54
STU01035,DBMS,SQL,84.24,0.06,11,Medium,Medium,34,58.09,100.0,59.9
STU01461,CN,TCP-IP,50.68,4.61,16,Easy,Low,37,80.04,39.61,29.67
STU01290,Aptitude,Permutation,55.61,0.06,7,Hard,Medium,52,64.53,62.34,27.36
STU01158,CN,Protocols,92.21,0.33,17,Easy,High,54,55.37,67.02,61.76
STU01010,ML,NeuralNets,33.7,0.9,15,Medium,Medium,21,71.74,28.63,29.06
STU01059,Aptitude,Probability,51.11,2.48,11,Hard,High,40,68.86,47.88,42.62
STU01479,DSA,LinkedList,78.88,5.65,18,Easy,Medium,7,98.94,75.29,88.48
STU01139,DSA,Arrays,86.39,2.12,18,Hard,High,14,77.84,90.27,73.65
STU01198,ML,Clustering,63.69,1.23,10,Easy,Low,46,100.0,73.91,32.89
STU01013,CN,Routing,72.95,0.78,20,Hard,Low,18,77.37,77.92,30.03
STU01359,ML,Regression,70.76,3.68,9,Hard,High,59,62.49,72.9,44.15
STU01229,CN,Security,77.44,1.6,1,Hard,Medium,35,57.92,92.15,49.85
STU01162,DSA,Searching,67.77,1.58,1,Hard,Medium,35,69.9,82.79,37.19
STU01054,DBMS,Indexing,43.35,6.05,2,Hard,Low,21,86.83,50.12,23.19
STU01163,DSA,Stack,100.0,0.02,11,Hard,Medium,24,86.77,100.0,60.74
STU01230,DSA,Queue,56.16,4.86,10,Hard,High,58,69.96,45.91,23.13
STU01421,Python,Decorators,48.07,2.57,12,Easy,Low,15,85.97,71.89,50.62
STU01461,Aptitude,Algebra,78.4,1.53,4,Hard,High,39,85.15,82.37,36.02
STU01079,ML,NeuralNets,100.0,2.59,9,Medium,Medium,16,81.49,98.38,66.91
STU01362,DSA,LinkedList,42.26,10.0,8,Easy,Medium,39,60.91,58.49,54.98
STU01175,ML,NeuralNets,68.31,2.93,18,Easy,High,4,69.25,57.6,72.23
STU01248,Python,Loops,32.85,1.74,14,Medium,Medium,4,77.77,44.39,40.01
STU01446,DBMS,Queries,53.73,0.45,8,Medium,Medium,43,73.75,61.74,37.81
STU01209,OS,FileSystem,97.33,0.29,4,Medium,High,34,58.52,76.43,58.94
STU01187,DBMS,Queries,81.46,0.48,6,Easy,High,53,73.79,91.82,66.68
STU01125,DBMS,SQL,73.52,3.54,13,Hard,High,41,75.29,96.56,55.92
STU01495,Python,Loops,76.25,2.31,5,Hard,High,9,81.26,75.75,67.39
STU01156,DBMS,ER-Model,82.65,3.26,5,Easy,Medium,26,68.22,87.45,58.35
STU01141,CN,TCP-IP,79.88,12.5,7,Easy,Medium,48,72.28,77.57,74.23
STU01094,OS,Deadlock,27.67,3.87,20,Easy,High,28,90.11,12.97,52.93
STU01324,DSA,LinkedList,48.92,7.83,2,Easy,Medium,55,86.19,38.52,55.7
STU01435,CN,DNS,47.02,5.61,7,Medium,High,25,55.05,50.13,56.85
STU01132,Aptitude,Probability,73.18,0.51,19,Hard,Medium,47,55.12,74.52,37.49
STU01475,ML,Classification,12.92,4.16,8,Hard,High,60,77.98,26.91,18.23
STU01024,DBMS,Transactions,67.19,0.83,13,Hard,Medium,4,90.79,81.72,31.86
STU01169,DSA,Tree,92.34,0.56,7,Easy,Medium,37,62.34,97.06,57.69
STU01384,OS,Scheduling,81.24,1.34,13,Hard,Medium,22,95.07,94.78,55.87
STU01357,DSA,Searching,55.79,5.81,4,Hard,High,38,57.97,67.85,36.39
STU01310,CN,Routing,100.0,0.46,9,Hard,High,16,80.75,100.0,55.7
STU01436,Aptitude,Percentage,94.13,3.08,19,Hard,Low,35,79.68,98.65,53.31
STU01194,Aptitude,Permutation,56.64,0.08,9,Medium,Low,28,89.13,57.96,25.26
STU01340,ML,DecisionTrees,86.16,2.06,1,Hard,Low,16,89.06,80.25,35.31
STU01032,ML,Classification,57.02,3.99,1,Easy,High,13,79.5,62.56,85.49
STU01390,DSA,Arrays,29.43,1.65,8,Easy,High,12,65.18,36.3,44.68
STU01095,ML,NeuralNets,72.53,3.98,7,Hard,Medium,13,87.15,88.65,68.66
STU01272,Aptitude,Permutation,51.74,0.52,12,Hard,Medium,52,67.56,46.45,5.47
STU01401,Python,Loops,70.29,0.71,1,Easy,Low,49,89.22,93.43,33.3
STU01197,OS,Threads,68.29,3.84,7,Medium,High,14,74.39,75.93,63.14
STU01128,Python,Decorators,64.45,9.44,2,Easy,Medium,5,70.99,73.34,70.24
STU01169,CN,TCP-IP,66.93,0.19,3,Medium,Low,9,53.34,88.98,38.81
STU01002,ML,Classification,70.71,0.47,15,Medium,Medium,37,59.0,74.55,38.8
STU01148,ML,Clustering,100.0,3.04,6,Hard,High,14,86.57,88.45,87.07
STU01352,Python,Loops,85.35,7.33,10,Hard,High,52,79.07,88.2,65.06
STU01278,ML,Classification,67.84,1.22,7,Medium,Low,48,67.49,79.85,30.9
STU01138,ML,Regression,76.29,9.43,17,Easy,Medium,9,59.71,81.06,79.19
STU01419,ML,Clustering,72.01,4.25,9,Easy,High,26,79.47,77.16,70.92
STU01273,OS,Processes,45.85,2.65,15,Easy,Medium,31,84.75,41.11,27.52
STU01318,DBMS,SQL,35.44,5.41,19,Hard,Medium,35,58.03,41.2,32.16
STU01174,OS,Threads,84.55,1.39,6,Medium,Low,42,63.71,72.37,37.71
STU01284,DSA,Graph,84.99,2.54,6,Easy,Low,57,71.44,100.0,46.02
STU01107,CN,Security,94.98,2.28,13,Medium,Medium,3,75.01,83.33,83.5
STU01363,Python,Exceptions,55.14,2.66,1,Hard,Low,37,96.65,57.35,15.62
STU01133,DSA,LinkedList,67.71,2.89,3,Easy,Medium,3,77.47,62.64,48.42
STU01444,OS,Threads,37.98,4.41,13,Hard,Low,54,55.16,49.14,3.45
STU01389,ML,Classification,46.99,0.96,9,Easy,Medium,5,63.49,53.74,68.2
STU01150,DSA,Graph,58.52,1.55,9,Easy,Medium,28,87.04,40.3,34.28
STU01160,Python,Exceptions,96.9,4.97,5,Hard,High,5,68.0,95.13,81.54
STU01246,DSA,Graph,50.81,0.28,4,Easy,Medium,33,56.12,80.08,42.34
STU01206,Aptitude,Permutation,73.97,10.72,9,Medium,High,46,98.34,84.34,81.79
STU01195,DBMS,Normalization,12.29,5.11,2,Easy,Low,28,75.05,7.15,10.85
STU01433,CN,Protocols,73.67,0.58,5,Easy,High,25,62.91,77.35,62.13
